Property_Key,Property_ID,Latitude,Longitude,Accommodates,Availability_365,Has_availability,Reviews_per_month,Calculated_host_listings_count,Property_type,Instant_bookable,Room_type,Bedrooms,Beds,Bathrooms,Bathrooms_type,Neighbourhood_cleansed,Number_of_reviews,Number_of_reviews_l30d,Review_scores_rating,Review_scores_accuracy,Review_scores_checkin,Review_scores_cleanliness,Review_scores_communication,Review_scores_location,Review_scores_value,Amenity_Count,avgprice
31,32624427,52.38348,4.90315,1,363,1,0.75,12,Room in hostel,1,Hotel room,1,1,1,shared bath(s),Oud-Noord,13,0,92,10,10,9,10,10,9,6,36.10136986
32,39268135,52.37246,4.83564,2,0,1,0,3,Room in boutique hotel,1,Hotel room,1,0,1,shared bath(s),Slotervaart,0,0,0,0,0,0,0,0,0,21,935.204918
33,22255665,52.35031,4.9206,4,329,1,0.79,18,Room in boutique hotel,1,Hotel room,2,4,1.5,shared bath(s),Watergraafsmeer,23,0,96,10,10,10,10,10,10,21,221.2739726
34,22255815,52.35076,4.92124,4,333,1,1.1,18,Room in boutique hotel,1,Hotel room,2,4,1.5,shared bath(s),Watergraafsmeer,36,2,96,10,10,10,10,9,10,24,230.6986301
35,31945032,52.37674,4.89624,1,2,1,2.11,3,Room in hostel,1,Hotel room,1,1,1,shared bath(s),Centrum-West,31,0,91,9,10,9,9,10,9,17,55.6
36,32624414,52.38375,4.90303,1,363,1,2.67,12,Room in hostel,1,Hotel room,1,1,0,shared bath(s),Oud-Noord,46,0,90,10,9,9,10,10,9,6,31.82739726
37,32624420,52.38509,4.90411,1,363,1,0.53,12,Room in hostel,1,Hotel room,1,1,0,shared bath(s),Oud-Noord,9,0,89,10,9,9,9,10,8,6,33.14520548
38,32624966,52.38483,4.90345,2,1,1,0.34,12,Room in hostel,1,Hotel room,1,1,1,shared bath(s),Oud-Noord,4,0,85,10,10,10,10,10,9,10,97.78688525
39,33234288,52.39939,4.89484,2,342,1,0.09,4,Room in boutique hotel,1,Hotel room,1,1,1,shared bath(s),Oud-Noord,1,0,100,10,10,8,10,10,10,31,1137.712329
40,39268145,52.37091,4.83683,1,323,1,0,3,Room in boutique hotel,1,Hotel room,1,0,1,shared bath(s),Slotervaart,0,0,0,0,0,0,0,0,0,22,1367.027397
41,17637617,52.36518,4.89175,2,97,1,1.71,5,Room in boutique hotel,1,Hotel room,1,2,1,shared bath(s),Centrum-Oost,66,0,96,10,10,10,10,10,9,24,148.0273973
3571,4913607,52.36299,4.93893,2,358,1,0.31,1,Entire apartment,0,Entire home/apt,1,2,1.5,shared bath(s),Oostelijk Havengebied - Indische Buurt,13,0,98,10,10,10,10,10,9,30,249
3572,4951858,52.35788,4.85682,4,0,1,0.12,1,Entire apartment,0,Entire home/apt,2,2,1,shared bath(s),De Baarsjes - Oud-West,5,0,100,10,10,10,10,10,10,17,189
3573,5004138,52.3659,4.87503,4,0,1,0,1,Entire apartment,0,Entire home/apt,2,2,1,shared bath(s),De Baarsjes - Oud-West,0,0,0,0,0,0,0,0,0,11,400
3574,5027458,52.36166,4.85365,4,0,1,0.18,1,Entire apartment,0,Entire home/apt,2,2,1.5,shared bath(s),De Baarsjes - Oud-West,12,0,98,10,10,10,10,10,9,11,87
3575,5088206,52.36289,4.86526,4,68,1,0.76,1,Entire apartment,0,Entire home/apt,2,2,1,shared bath(s),De Baarsjes - Oud-West,52,0,95,10,10,9,10,9,9,32,258.9041096
3576,5115463,52.35172,4.90124,3,288,1,0.51,1,Entire apartment,0,Entire home/apt,2,3,1.5,shared bath(s),De Pijp - Rivierenbuurt,35,0,97,10,10,9,10,9,9,30,150
3577,5160551,52.38748,4.88106,2,0,1,0.08,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),Westerpark,5,0,100,10,10,10,10,10,9,8,90
3578,5299925,52.35527,4.88761,2,0,1,0.16,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),De Pijp - Rivierenbuurt,11,0,91,10,10,10,10,10,8,38,99
3579,5370916,52.35648,4.89509,2,84,1,0.15,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),De Pijp - Rivierenbuurt,10,0,95,10,10,9,10,10,9,23,180
3580,5419045,52.3886,4.88732,2,0,1,0.03,1,Entire apartment,1,Entire home/apt,1,1,1,shared bath(s),Westerpark,2,0,90,9,9,9,10,9,9,10,89
3581,5557460,52.37304,4.85633,2,30,1,0.16,2,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),De Baarsjes - Oud-West,11,0,96,9,10,9,10,10,9,24,104.5890411
3582,5599798,52.37676,4.85289,2,0,1,0.05,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),Bos en Lommer,3,0,93,10,10,10,10,10,10,11,100
3583,5743318,52.37867,4.85039,2,303,1,0.32,1,Entire apartment,0,Entire home/apt,2,1,1.5,shared bath(s),Bos en Lommer,21,0,97,10,10,10,10,9,9,35,138.739726
3584,5749585,52.3664,4.87352,4,0,1,0.08,1,Entire apartment,0,Entire home/apt,1,4,1,shared bath(s),De Baarsjes - Oud-West,5,0,92,9,10,8,10,9,8,11,130
3585,5777866,52.36486,4.88245,2,0,1,0.27,1,Entire apartment,0,Entire home/apt,1,1,1.5,shared bath(s),Centrum-Oost,18,0,98,10,10,9,10,10,10,10,160
